transport,vehicle_type,vehicle_monthly_distance_km,frequency_of_traveling_by_air,region,heating_energy_source,how_long_tv_pc_daily_hour,how_long_internet_daily_hour,diet,monthly_grocery_bill,how_many_new_clothes_monthly,waste_bag_size,waste_bag_weekly_count,recycling,cooking_with,grid_factor,grocery_factor,household_size,country,carbon_emission_kgco2e_month
private,petrol,177.0,never,mixed,natural gas,5.5,2.5,omnivore,2002.4,2,medium,9,['none'],"['stove', 'oven']",0.67013,0.11,1,india,950.7
private,diesel,69.5,very frequently,mixed,electricity,6.0,5.0,vegetarian,694.6,0,large,1,['plastic'],"['oven', 'airfryer']",0.67013,0.11,1,india,803.6
private,petrol,156.3,rarely,mixed,natural gas,6.5,4.5,omnivore,2902.0,2,medium,3,"['paper', 'plastic', 'metal']","['oven', 'microwave']",0.67013,0.11,3,india,678.0
private,diesel,937.3,never,mixed,natural gas,0.0,3.0,omnivore,435.0,1,medium,1,"['metal', 'glass']","['stove', 'microwave']",0.21741,0.44,2,uk,627.8
public,none,227.7,never,mixed,natural gas,3.5,8.0,vegetarian,378.8,2,small,3,['metal'],"['stove', 'oven', 'microwave']",0.21741,0.44,2,uk,387.0
private,none,79.2,never,mixed,electricity,3.5,4.0,vegetarian,506.3,1,small,4,['paper'],"['microwave', 'airfryer']",0.67013,0.11,2,india,269.1
public,none,427.7,rarely,mixed,wood,3.0,10.5,omnivore,2032.9,2,medium,1,"['paper', 'plastic']","['stove', 'microwave']",0.67013,0.11,1,india,638.1
private,hybrid,320.2,never,mixed,electricity,4.0,4.5,pescatarian,305.5,2,small,2,['paper'],"['microwave', 'airfryer']",0.3844,0.36,1,us,370.1
private,petrol,312.4,never,renewable_heavy,natural gas,1.5,7.0,vegetarian,1401.1,5,medium,2,['none'],"['stove', 'oven', 'microwave']",0.147,0.11,1,india,507.2
private,none,41.5,very frequently,mixed,electricity,7.0,9.5,omnivore,360.4,2,medium,4,"['paper', 'metal']","['stove', 'oven', 'microwave']",0.21741,0.44,1,uk,1094.6
private,hybrid,70.1,rarely,mixed,electricity,0.0,7.0,vegetarian,3858.8,2,large,5,['none'],['oven'],0.67013,0.11,1,india,975.8
private,hybrid,45.0,never,renewable_heavy,electricity,1.0,6.0,pescatarian,1226.4,7,medium,3,"['paper', 'plastic']",['oven'],0.085,0.36,3,us,774.5
private,petrol,133.2,often,mixed,electricity,1.5,7.5,vegetarian,3872.5,3,small,3,['none'],['microwave'],0.67013,0.11,3,india,831.5
private,diesel,675.1,never,mixed,electricity,5.5,8.0,vegan,414.6,0,medium,3,"['paper', 'glass']","['stove', 'oven', 'microwave']",0.3844,0.36,1,us,460.9
public,none,33.9,never,mixed,electricity,2.5,6.0,omnivore,1086.4,1,large,4,['none'],['microwave'],0.3844,0.36,1,us,972.7
private,petrol,61.8,never,mixed,natural gas,7.0,6.5,pescatarian,4510.6,1,medium,3,['none'],"['stove', 'grill']",0.67013,0.11,2,india,817.9
private,petrol,38.6,rarely,mixed,natural gas,1.0,8.0,vegetarian,2080.0,3,medium,4,"['paper', 'metal']","['stove', 'microwave']",0.67013,0.11,4,india,512.2
public,none,366.3,never,mixed,electricity,4.0,4.5,omnivore,721.3,5,medium,3,['none'],"['stove', 'oven', 'microwave']",0.67013,0.11,1,india,552.6
private,petrol,974.6,rarely,mixed,natural gas,5.0,3.0,vegetarian,1250.9,0,large,1,['paper'],['stove'],0.67013,0.11,1,india,588.4
private,electric,227.7,rarely,mixed,wood,5.0,10.0,omnivore,110.3,1,large,1,['none'],"['stove', 'microwave', 'grill']",0.21741,0.44,1,uk,485.5
private,petrol,277.3,never,mixed,electricity,1.5,5.0,omnivore,1543.4,2,medium,3,['none'],"['stove', 'oven', 'microwave']",0.67013,0.11,3,india,570.5
public,none,174.9,rarely,mixed,electricity,4.5,3.0,pescatarian,2079.5,1,medium,2,['none'],['none'],0.67013,0.11,2,india,585.5
private,petrol,153.5,rarely,mixed,natural gas,0.0,6.5,omnivore,780.3,2,medium,3,"['paper', 'plastic', 'metal']",['none'],0.67013,0.11,2,india,480.7
walk/bicycle,none,338.9,very frequently,mixed,electricity,10.5,0.5,omnivore,596.2,1,large,2,"['paper', 'plastic', 'metal', 'glass']","['stove', 'microwave', 'grill', 'airfryer']",0.21741,0.44,1,uk,1038.1
private,diesel,79.5,rarely,renewable_heavy,wood,6.5,6.5,vegetarian,403.9,2,large,2,['none'],"['stove', 'microwave', 'airfryer']",0.048,0.44,3,uk,480.7
private,petrol,321.6,never,mixed,wood,6.5,4.5,omnivore,133.3,7,small,4,['none'],"['stove', 'oven', 'microwave']",0.21741,0.44,3,uk,541.7
public,none,136.2,often,renewable_heavy,electricity,3.5,0.0,vegetarian,502.6,1,extra large,1,"['paper', 'plastic']","['stove', 'oven', 'microwave', 'grill']",0.085,0.36,2,us,615.1
public,none,174.2,rarely,mixed,electricity,4.0,5.0,pescatarian,136.9,1,small,4,['none'],"['microwave', 'grill']",0.21741,0.44,2,uk,291.9
walk/bicycle,none,109.1,never,mixed,wood,5.5,2.5,omnivore,1402.0,2,small,2,['none'],"['stove', 'microwave']",0.3844,0.36,7,us,823.1
public,none,27.0,never,mixed,electricity,3.5,5.5,omnivore,180.4,2,large,2,['none'],"['stove', 'microwave']",0.21741,0.44,2,uk,421.2
private,petrol,352.5,rarely,mixed,electricity,5.5,4.0,omnivore,217.3,13,medium,2,['plastic'],['stove'],0.21741,0.44,2,uk,703.6
public,none,162.2,never,mixed,electricity,7.5,2.5,omnivore,1561.0,1,extra large,3,"['paper', 'metal']","['stove', 'microwave']",0.67013,0.11,3,india,517.6
private,lpg,169.9,often,mixed,natural gas,1.5,6.5,omnivore,474.2,3,medium,7,"['paper', 'metal']","['stove', 'oven', 'microwave']",0.3844,0.36,4,us,781.9
private,none,993.9,never,renewable_heavy,natural gas,6.5,1.0,omnivore,1589.9,1,large,3,['none'],"['stove', 'microwave']",0.147,0.11,4,india,480.5
private,hybrid,204.5,rarely,renewable_heavy,natural gas,2.0,3.0,omnivore,837.9,1,small,5,['none'],"['microwave', 'grill', 'airfryer']",0.147,0.11,5,india,438.7
private,electric,92.0,rarely,renewable_heavy,electricity,2.0,5.0,vegetarian,380.7,1,medium,4,['paper'],['airfryer'],0.048,0.44,2,uk,408.1
public,none,44.7,very frequently,mixed,electricity,4.0,5.0,omnivore,1444.4,2,large,3,"['paper', 'metal']","['stove', 'oven', 'microwave']",0.67013,0.11,1,india,1078.2
public,none,134.6,never,mixed,natural gas,5.5,3.5,omnivore,261.1,0,small,2,['glass'],"['stove', 'oven']",0.21741,0.44,3,uk,363.8
walk/bicycle,none,260.3,rarely,renewable_heavy,electricity,0.0,2.5,vegetarian,873.9,2,medium,2,['none'],"['stove', 'oven', 'microwave']",0.048,0.44,4,uk,666.1
private,petrol,48.8,rarely,mixed,natural gas,7.0,2.5,vegetarian,355.5,4,extra large,2,"['paper', 'metal', 'glass']","['microwave', 'grill']",0.3844,0.36,3,us,467.7
private,petrol,475.3,rarely,mixed,electricity,1.5,6.5,omnivore,1652.9,3,medium,5,['paper'],['oven'],0.67013,0.11,2,india,753.4
private,diesel,125.1,never,mixed,electricity,0.0,5.5,vegetarian,482.1,1,medium,10,"['paper', 'metal', 'glass']","['stove', 'microwave']",0.3844,0.36,5,us,383.2
private,none,153.8,never,mixed,electricity,3.0,7.5,omnivore,477.0,9,medium,2,"['paper', 'plastic', 'metal']","['stove', 'oven', 'airfryer']",0.21741,0.44,9,uk,633.3
private,petrol,175.8,often,mixed,natural gas,1.5,1.5,pescatarian,2308.9,1,large,3,['none'],['stove'],0.67013,0.11,1,india,817.8
private,petrol,49.5,often,mixed,natural gas,4.0,6.5,omnivore,541.4,6,small,3,['none'],"['stove', 'oven', 'grill']",0.67013,0.11,2,india,688.8
public,none,111.2,never,mixed,natural gas,4.5,5.0,vegetarian,374.9,1,large,2,['plastic'],"['stove', 'airfryer']",0.3844,0.36,4,us,339.2
private,hybrid,257.7,rarely,mixed,natural gas,1.0,4.0,omnivore,293.0,2,medium,1,"['paper', 'plastic', 'metal']",['microwave'],0.21741,0.44,2,uk,481.8
public,none,165.5,never,mixed,wood,3.5,5.5,omnivore,1026.2,1,medium,6,"['paper', 'metal']",['microwave'],0.67013,0.11,4,india,357.5
private,diesel,113.8,never,mixed,electricity,6.5,5.5,pescatarian,981.3,2,medium,3,"['paper', 'plastic', 'metal', 'glass']",['stove'],0.67013,0.11,1,india,484.2
private,petrol,131.9,rarely,mixed,wood,9.0,5.0,omnivore,667.6,5,large,4,"['paper', 'plastic']","['stove', 'oven']",0.21741,0.44,3,uk,768.1
walk/bicycle,none,292.6,never,renewable_heavy,natural gas,3.5,2.0,omnivore,2131.7,1,large,2,"['paper', 'plastic', 'glass']",['none'],0.147,0.11,1,india,598.0
private,lpg,630.8,rarely,mixed,electricity,5.0,3.0,omnivore,1475.6,6,small,4,"['paper', 'plastic']",['none'],0.67013,0.11,8,india,550.9
private,diesel,151.6,never,mixed,electricity,2.0,6.0,vegan,532.4,1,medium,1,"['plastic', 'metal']","['oven', 'grill']",0.3844,0.36,4,us,360.9
walk/bicycle,none,80.2,rarely,mixed,wood,3.5,5.0,vegetarian,3880.7,1,large,3,['none'],"['stove', 'oven', 'microwave', 'airfryer']",0.67013,0.11,1,india,855.8
private,none,1626.4,rarely,renewable_heavy,electricity,7.0,3.0,vegetarian,2647.0,6,small,1,"['paper', 'plastic']","['oven', 'microwave']",0.147,0.11,4,india,526.7
private,petrol,445.8,never,mixed,natural gas,3.0,7.5,omnivore,936.5,1,medium,1,['none'],['none'],0.3844,0.36,2,us,750.0
private,petrol,160.1,rarely,mixed,electricity,2.5,5.0,vegetarian,513.5,0,small,2,['plastic'],"['stove', 'oven', 'microwave']",0.3844,0.36,1,us,538.1
public,none,103.9,rarely,mixed,electricity,4.0,6.0,omnivore,647.7,0,medium,2,"['plastic', 'metal', 'glass']","['stove', 'microwave', 'grill']",0.3844,0.36,1,us,664.1
private,petrol,838.8,rarely,renewable_heavy,electricity,2.0,8.5,omnivore,1757.8,3,large,7,"['paper', 'plastic', 'glass']","['stove', 'oven', 'microwave']",0.147,0.11,6,india,712.8
public,none,83.1,often,mixed,electricity,2.5,6.0,omnivore,861.4,1,large,1,['none'],['stove'],0.3844,0.36,4,us,814.8
walk/bicycle,none,181.0,never,mixed,natural gas,4.5,4.0,omnivore,1126.9,1,large,3,['plastic'],['none'],0.3844,0.36,2,us,870.1
private,petrol,333.9,rarely,mixed,natural gas,2.0,0.5,vegetarian,404.8,1,small,5,"['paper', 'plastic']","['stove', 'oven', 'microwave']",0.21741,0.44,1,uk,598.5
private,petrol,214.4,often,mixed,natural gas,0.0,2.0,pescatarian,180.0,5,large,2,['none'],"['stove', 'microwave']",0.21741,0.44,4,uk,600.4
walk/bicycle,none,76.2,rarely,mixed,electricity,2.5,1.5,vegetarian,477.2,3,large,2,['plastic'],"['stove', 'microwave']",0.3844,0.36,1,us,591.3
private,petrol,125.2,rarely,mixed,electricity,2.5,1.0,vegetarian,347.1,3,small,4,"['paper', 'plastic']","['stove', 'microwave']",0.21741,0.44,1,uk,521.6
walk/bicycle,none,177.7,rarely,mixed,electricity,4.0,5.0,vegetarian,528.7,2,medium,1,['plastic'],"['stove', 'airfryer']",0.21741,0.44,1,uk,511.7
walk/bicycle,none,62.7,never,renewable_heavy,electricity,5.5,0.0,omnivore,1644.9,1,medium,2,['none'],['microwave'],0.147,0.11,4,india,413.3
walk/bicycle,none,153.2,rarely,mixed,natural gas,4.5,4.5,vegetarian,386.4,1,medium,2,['none'],"['stove', 'microwave', 'airfryer']",0.21741,0.44,4,uk,423.4
private,petrol,673.3,never,mixed,natural gas,2.5,5.0,vegetarian,507.4,1,large,3,"['plastic', 'metal']","['stove', 'microwave']",0.21741,0.44,2,uk,516.7
private,diesel,913.6,never,mixed,electricity,4.5,5.5,vegetarian,1393.7,2,small,3,"['paper', 'plastic', 'glass']","['stove', 'oven', 'microwave', 'airfryer']",0.67013,0.11,2,india,493.7
public,none,147.1,often,renewable_heavy,natural gas,6.0,6.5,vegetarian,2379.7,1,small,2,"['paper', 'metal']","['stove', 'oven', 'microwave', 'grill']",0.147,0.11,1,india,688.4
private,petrol,169.8,often,mixed,electricity,2.5,6.0,vegetarian,507.4,3,large,2,['none'],"['stove', 'oven', 'microwave', 'grill']",0.3844,0.36,3,us,666.3
private,petrol,149.4,often,mixed,wood,3.5,6.5,omnivore,131.8,1,medium,2,['none'],['stove'],0.3844,0.36,3,us,497.5
private,petrol,27.0,rarely,mixed,electricity,8.5,3.0,omnivore,338.0,2,large,4,['none'],"['stove', 'oven']",0.21741,0.44,3,uk,570.1
private,petrol,269.6,never,mixed,natural gas,6.0,3.5,omnivore,198.2,7,medium,3,['none'],['none'],0.3844,0.36,3,us,500.7
public,none,226.2,rarely,mixed,natural gas,7.5,12.5,omnivore,4279.0,10,extra large,3,['metal'],"['stove', 'microwave']",0.67013,0.11,1,india,1261.4
walk/bicycle,none,452.9,very frequently,mixed,wood,4.5,7.5,vegan,1434.8,1,medium,6,['none'],"['oven', 'microwave']",0.67013,0.11,4,india,749.3
private,petrol,464.1,often,renewable_heavy,natural gas,2.5,7.5,omnivore,283.5,3,medium,4,"['paper', 'glass']",['none'],0.048,0.44,2,uk,688.4
private,none,311.2,often,mixed,natural gas,6.0,1.0,omnivore,3097.2,0,medium,2,['none'],"['oven', 'airfryer']",0.67013,0.11,3,india,819.0
private,petrol,314.7,rarely,mixed,electricity,3.0,8.0,omnivore,97.7,1,large,9,['paper'],"['stove', 'oven', 'microwave']",0.21741,0.44,1,uk,928.5
private,hybrid,70.3,rarely,renewable_heavy,electricity,1.0,0.0,vegetarian,1044.6,2,large,2,['none'],['none'],0.147,0.11,2,india,411.8
public,none,209.5,rarely,mixed,electricity,2.0,0.5,pescatarian,899.0,3,large,12,['glass'],"['stove', 'oven', 'microwave']",0.3844,0.36,1,us,1299.0
public,none,50.3,rarely,renewable_heavy,wood,5.0,7.0,vegetarian,430.4,1,medium,0,"['paper', 'metal']","['stove', 'oven', 'microwave']",0.085,0.36,5,us,372.7
private,petrol,126.6,rarely,mixed,natural gas,4.0,9.0,vegetarian,884.8,1,large,2,['paper'],"['stove', 'grill', 'airfryer']",0.67013,0.11,2,india,421.1
public,none,774.2,rarely,mixed,natural gas,3.5,2.0,omnivore,290.4,1,medium,2,['glass'],['none'],0.3844,0.36,1,us,532.0
private,petrol,286.7,rarely,renewable_heavy,electricity,3.0,2.0,vegetarian,211.9,3,medium,2,['none'],"['stove', 'microwave']",0.085,0.36,5,us,355.6
private,petrol,232.2,often,mixed,electricity,4.0,3.5,omnivore,1376.5,2,extra large,2,['paper'],"['stove', 'grill']",0.67013,0.11,3,india,703.4
public,none,173.1,never,mixed,electricity,7.0,0.0,omnivore,1610.9,2,medium,3,"['paper', 'plastic']","['stove', 'microwave']",0.67013,0.11,2,india,526.5
private,petrol,175.3,never,mixed,electricity,0.0,5.5,pescatarian,952.1,2,small,2,['none'],"['oven', 'microwave']",0.21741,0.44,1,uk,670.5
private,hybrid,207.1,never,mixed,electricity,5.0,6.5,omnivore,199.5,2,medium,3,['none'],"['stove', 'oven', 'grill']",0.21741,0.44,2,uk,450.8
public,none,192.9,rarely,mixed,electricity,7.0,3.0,pescatarian,206.4,1,large,3,"['paper', 'plastic']","['oven', 'microwave', 'airfryer']",0.3844,0.36,4,us,326.1
private,lpg,324.0,often,mixed,natural gas,4.5,0.0,vegan,309.4,2,small,17,['none'],"['stove', 'microwave']",0.21741,0.44,2,uk,603.7
private,diesel,1115.2,often,mixed,electricity,5.5,3.0,omnivore,2022.0,2,large,6,['paper'],"['stove', 'microwave']",0.67013,0.11,1,india,1214.7
public,none,657.5,rarely,mixed,electricity,7.0,8.5,vegetarian,1649.7,0,extra large,4,['none'],"['stove', 'microwave']",0.67013,0.11,1,india,856.3
private,petrol,121.0,rarely,mixed,natural gas,2.0,7.0,vegan,428.7,3,medium,6,['paper'],"['microwave', 'airfryer']",0.3844,0.36,2,us,504.1
private,electric,103.2,never,mixed,natural gas,4.5,5.0,vegetarian,1080.4,2,extra large,1,"['paper', 'metal']","['oven', 'microwave', 'airfryer']",0.3844,0.36,2,us,606.2
private,diesel,112.0,rarely,mixed,electricity,1.5,4.5,omnivore,197.4,2,small,1,['none'],"['stove', 'microwave']",0.21741,0.44,2,uk,461.8
public,none,101.7,rarely,renewable_heavy,wood,6.0,4.0,vegetarian,1781.2,1,medium,2,['none'],"['stove', 'microwave']",0.147,0.11,1,india,477.1
private,petrol,37.6,often,mixed,electricity,8.0,7.0,omnivore,965.6,1,large,1,['none'],"['stove', 'microwave', 'airfryer']",0.3844,0.36,1,us,852.8
public,none,199.6,rarely,mixed,natural gas,5.5,7.0,omnivore,1149.4,1,medium,3,"['paper', 'plastic', 'glass']","['stove', 'microwave']",0.3844,0.36,6,us,797.0
private,petrol,124.8,often,mixed,natural gas,2.0,1.5,omnivore,2406.4,0,large,4,['metal'],"['stove', 'oven']",0.67013,0.11,2,india,790.1
public,none,176.3,never,mixed,electricity,10.5,4.5,omnivore,164.8,1,large,2,['none'],['stove'],0.3844,0.36,1,us,444.9
public,none,115.0,never,mixed,electricity,7.0,4.0,vegetarian,687.2,1,medium,2,['none'],['stove'],0.3844,0.36,1,us,529.3
public,none,190.5,rarely,mixed,electricity,2.5,8.0,omnivore,3181.7,2,extra large,6,['paper'],"['stove', 'oven', 'microwave']",0.67013,0.11,6,india,786.8
public,none,99.8,very frequently,renewable_heavy,electricity,4.5,8.0,omnivore,2431.0,1,medium,1,"['paper', 'plastic']","['stove', 'microwave', 'grill']",0.147,0.11,1,india,1003.5
private,diesel,101.7,often,mixed,electricity,3.0,3.0,vegetarian,1585.2,1,small,2,"['metal', 'glass']","['stove', 'microwave']",0.67013,0.11,2,india,627.4
private,petrol,1089.9,often,mixed,natural gas,4.5,6.5,omnivore,246.2,1,small,1,"['plastic', 'glass']",['stove'],0.21741,0.44,3,uk,652.9
private,diesel,60.0,rarely,mixed,electricity,6.5,6.5,omnivore,3337.4,0,large,2,"['plastic', 'glass']","['stove', 'oven', 'airfryer']",0.67013,0.11,2,india,779.2
private,petrol,2996.0,very frequently,mixed,electricity,3.5,4.5,omnivore,2521.9,1,large,2,['none'],"['stove', 'microwave']",0.67013,0.11,6,india,1300.8
private,diesel,53.3,rarely,renewable_heavy,electricity,1.5,5.0,vegetarian,3680.7,2,large,2,['none'],['stove'],0.147,0.11,2,india,710.1
public,none,85.6,rarely,mixed,natural gas,1.0,8.5,vegetarian,1734.1,0,small,3,"['paper', 'plastic', 'metal', 'glass']","['stove', 'oven', 'grill']",0.67013,0.11,1,india,539.5
private,diesel,58.1,rarely,renewable_heavy,electricity,4.0,3.5,omnivore,2603.6,1,large,8,['none'],"['stove', 'microwave']",0.147,0.11,1,india,1104.8
walk/bicycle,none,127.3,rarely,mixed,natural gas,6.0,8.0,vegetarian,251.3,1,medium,5,['none'],"['oven', 'microwave', 'grill']",0.3844,0.36,2,us,416.0
public,none,8.6,rarely,mixed,electricity,0.0,8.0,omnivore,4713.5,1,small,2,['glass'],['none'],0.67013,0.11,2,india,896.0
private,petrol,438.3,rarely,mixed,electricity,4.0,5.5,vegetarian,5000.0,2,medium,2,"['plastic', 'metal', 'glass']","['stove', 'airfryer']",0.67013,0.11,1,india,975.8
private,petrol,86.1,very frequently,mixed,natural gas,4.0,3.0,vegetarian,1981.0,0,medium,3,['none'],"['oven', 'microwave']",0.67013,0.11,2,india,908.9
private,diesel,240.6,very frequently,mixed,natural gas,2.5,6.5,omnivore,166.7,1,large,1,['none'],"['oven', 'microwave', 'airfryer']",0.3844,0.36,1,us,897.1
private,diesel,856.1,often,mixed,natural gas,1.0,5.5,omnivore,3924.9,0,medium,1,['metal'],['microwave'],0.67013,0.11,2,india,995.0
private,petrol,113.2,never,mixed,wood,4.5,0.5,pescatarian,1398.5,1,large,3,"['plastic', 'metal']","['stove', 'oven']",0.3844,0.36,6,us,722.1
private,petrol,257.0,never,mixed,natural gas,5.0,6.5,omnivore,371.5,0,extra large,2,['none'],"['stove', 'oven', 'microwave']",0.3844,0.36,4,us,491.0
public,none,79.3,very frequently,mixed,natural gas,4.0,3.5,vegetarian,302.2,2,medium,6,"['paper', 'glass']","['stove', 'microwave']",0.21741,0.44,3,uk,762.4
private,petrol,382.0,often,mixed,electricity,4.0,6.5,vegetarian,1657.6,4,large,2,"['plastic', 'metal', 'glass']","['stove', 'oven', 'microwave']",0.67013,0.11,1,india,848.8
private,petrol,247.3,never,mixed,electricity,3.5,8.5,omnivore,313.0,1,medium,4,['none'],['oven'],0.21741,0.44,2,uk,465.7
private,diesel,58.5,rarely,mixed,wood,4.0,0.0,omnivore,821.9,2,medium,3,['none'],['stove'],0.3844,0.36,2,us,712.7
private,petrol,614.3,never,mixed,natural gas,8.5,2.0,omnivore,2645.7,1,small,2,['none'],['stove'],0.67013,0.11,2,india,633.5
private,petrol,164.2,often,mixed,electricity,4.5,2.0,vegetarian,247.7,1,large,1,"['paper', 'metal']",['microwave'],0.3844,0.36,2,us,501.0
public,none,155.5,rarely,mixed,electricity,6.0,2.5,vegan,314.0,2,large,2,['plastic'],['none'],0.21741,0.44,1,uk,441.1
public,none,336.4,rarely,mixed,natural gas,2.0,5.5,omnivore,2358.9,1,small,1,"['paper', 'plastic', 'glass']","['stove', 'microwave', 'airfryer']",0.67013,0.11,1,india,641.9
private,petrol,457.3,never,renewable_heavy,natural gas,2.0,4.0,pescatarian,1411.6,1,extra large,2,"['paper', 'plastic']","['stove', 'microwave']",0.147,0.11,2,india,444.6
walk/bicycle,none,71.4,never,mixed,electricity,4.5,1.0,omnivore,567.8,0,medium,1,"['paper', 'metal']","['stove', 'oven', 'microwave']",0.3844,0.36,1,us,513.3
public,none,418.0,very frequently,mixed,electricity,2.5,0.5,vegetarian,2138.8,1,large,5,"['paper', 'plastic', 'metal']",['microwave'],0.67013,0.11,1,india,1151.6
private,petrol,187.7,rarely,mixed,electricity,2.0,0.0,omnivore,674.7,1,large,2,['none'],['airfryer'],0.21741,0.44,5,uk,660.9
public,none,145.2,never,mixed,natural gas,2.0,6.5,pescatarian,3023.2,0,medium,1,['none'],['none'],0.67013,0.11,2,india,511.2
public,none,101.1,never,mixed,electricity,3.0,3.0,omnivore,1559.8,1,large,1,['none'],"['oven', 'grill']",0.67013,0.11,1,india,624.3
private,petrol,221.7,rarely,mixed,natural gas,9.5,1.5,vegetarian,2045.7,2,large,4,"['metal', 'glass']",['airfryer'],0.67013,0.11,1,india,731.5
private,none,50.8,often,renewable_heavy,natural gas,9.0,3.0,vegan,1311.1,1,medium,4,['none'],"['stove', 'microwave']",0.147,0.11,3,india,537.5
public,none,85.5,rarely,renewable_heavy,wood,7.0,5.0,vegetarian,1135.9,1,medium,1,['none'],"['stove', 'microwave']",0.048,0.44,3,uk,755.8
private,diesel,39.9,rarely,renewable_heavy,natural gas,7.0,3.5,pescatarian,530.5,1,medium,3,"['paper', 'plastic', 'glass']","['stove', 'oven', 'microwave']",0.048,0.44,1,uk,583.4
private,diesel,384.5,very frequently,mixed,electricity,6.0,7.0,pescatarian,169.6,5,large,2,['none'],"['microwave', 'airfryer']",0.21741,0.44,1,uk,932.6
public,none,210.5,rarely,mixed,natural gas,1.0,6.0,vegetarian,391.6,0,extra large,4,"['paper', 'metal']","['stove', 'oven']",0.3844,0.36,4,us,422.1
public,none,224.1,often,renewable_heavy,natural gas,6.0,4.0,pescatarian,182.3,3,small,1,"['plastic', 'glass']",['microwave'],0.085,0.36,2,us,449.4
public,none,119.4,never,mixed,electricity,0.0,2.0,omnivore,1581.3,2,medium,2,['none'],"['stove', 'microwave']",0.67013,0.11,1,india,649.7
private,petrol,152.0,never,mixed,electricity,8.0,7.5,vegetarian,2084.2,1,extra large,3,"['plastic', 'metal']",['microwave'],0.67013,0.11,7,india,420.9
private,none,152.5,often,renewable_heavy,natural gas,5.5,6.5,vegetarian,586.4,1,medium,6,['glass'],"['stove', 'microwave', 'airfryer']",0.048,0.44,1,uk,776.9
public,none,245.8,very frequently,mixed,wood,2.5,0.0,omnivore,774.4,2,medium,2,"['paper', 'plastic']",['none'],0.3844,0.36,1,us,1100.5
public,none,45.6,never,mixed,electricity,5.0,7.0,vegan,209.9,4,large,1,"['paper', 'metal']","['stove', 'microwave']",0.3844,0.36,1,us,390.5
public,none,197.3,rarely,renewable_heavy,electricity,2.0,6.5,vegan,491.1,2,medium,1,['paper'],"['stove', 'oven']",0.085,0.36,4,us,406.8
private,diesel,272.8,rarely,mixed,natural gas,4.0,6.0,pescatarian,435.4,0,small,1,['metal'],"['stove', 'oven', 'microwave']",0.21741,0.44,1,uk,454.1
walk/bicycle,none,282.5,often,renewable_heavy,electricity,4.0,7.0,vegan,2094.6,2,small,5,"['paper', 'plastic']","['stove', 'oven']",0.147,0.11,1,india,654.9
private,petrol,1100.0,rarely,mixed,wood,3.5,5.5,omnivore,159.6,3,medium,1,"['plastic', 'glass']","['stove', 'oven', 'grill']",0.21741,0.44,1,uk,576.5
private,electric,230.3,often,mixed,electricity,8.5,9.0,omnivore,233.2,9,extra large,3,"['plastic', 'metal']","['stove', 'oven', 'microwave']",0.21741,0.44,1,uk,1011.3
public,none,397.0,rarely,renewable_heavy,electricity,5.5,4.5,vegan,329.6,1,small,3,"['paper', 'glass']",['stove'],0.048,0.44,3,uk,350.4
private,petrol,427.1,rarely,renewable_heavy,electricity,5.5,0.0,vegetarian,3058.3,7,medium,1,"['paper', 'metal', 'glass']","['stove', 'grill']",0.147,0.11,1,india,726.1
public,none,93.0,never,renewable_heavy,electricity,3.0,6.0,vegan,1198.4,2,small,3,"['paper', 'plastic', 'metal']",['microwave'],0.147,0.11,6,india,272.6
private,none,369.5,often,mixed,electricity,3.5,7.5,omnivore,328.3,0,large,4,['none'],"['oven', 'grill']",0.3844,0.36,3,us,630.0
public,none,32.2,very frequently,mixed,natural gas,6.5,5.0,vegetarian,315.7,6,large,2,"['paper', 'metal', 'glass']","['stove', 'oven', 'microwave', 'airfryer']",0.21741,0.44,2,uk,851.5
private,petrol,87.2,never,mixed,electricity,3.0,3.5,vegetarian,148.5,1,large,2,['none'],"['oven', 'grill', 'airfryer']",0.21741,0.44,1,uk,350.6
private,hybrid,338.4,rarely,mixed,wood,3.0,7.5,omnivore,358.7,3,large,2,"['paper', 'metal']",['none'],0.3844,0.36,1,us,655.0
public,none,66.2,never,renewable_heavy,electricity,4.5,5.5,vegetarian,2461.6,1,large,1,['glass'],['airfryer'],0.147,0.11,1,india,535.8
public,none,482.7,rarely,renewable_heavy,electricity,5.0,0.0,vegetarian,1167.2,4,large,3,['none'],"['stove', 'oven']",0.147,0.11,2,india,528.8
walk/bicycle,none,464.5,never,mixed,natural gas,3.5,4.0,omnivore,341.4,2,medium,2,['none'],['oven'],0.3844,0.36,2,us,418.9
private,none,269.2,very frequently,renewable_heavy,electricity,3.5,1.5,omnivore,1442.7,1,large,3,['none'],['stove'],0.147,0.11,1,india,1090.3
public,none,237.4,rarely,mixed,natural gas,1.0,5.0,vegetarian,632.7,1,small,1,['none'],"['stove', 'microwave']",0.3844,0.36,1,us,476.0
private,diesel,148.0,rarely,renewable_heavy,electricity,6.0,2.5,vegetarian,146.1,1,medium,3,['none'],"['stove', 'microwave']",0.048,0.44,2,uk,354.3
private,lpg,216.0,never,mixed,natural gas,2.5,9.0,omnivore,1465.8,1,large,5,"['paper', 'glass']",['stove'],0.67013,0.11,2,india,638.3
private,petrol,459.5,never,mixed,electricity,4.0,0.0,vegetarian,4606.0,0,large,2,['plastic'],['stove'],0.67013,0.11,1,india,913.3
